2020-07-31 16:31:27 status installed lsb-base:all 11.1.0ubuntu2
2020-07-31 16:31:27 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2020-07-31 16:31:27 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:31:27 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:31:27 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:31:27 configure libsemanage-common:all 3.0-1build2 <none>
2020-07-31 16:31:27 status unpacked libsemanage-common:all 3.0-1build2
2020-07-31 16:31:27 status half-configured libsemanage-common:all 3.0-1build2
2020-07-31 16:31:27 status installed libsemanage-common:all 3.0-1build2
2020-07-31 16:31:27 configure gcc-10-base:amd64 10-20200411-0ubuntu1 <none>
2020-07-31 16:31:27 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2020-07-31 16:31:27 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2020-07-31 16:31:27 status installed gcc-10-base:amd64 10-20200411-0ubuntu1
2020-07-31 16:31:27 configure ncurses-base:all 6.2-0ubuntu2 <none>
2020-07-31 16:31:27 status unpacked ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:31:27 status half-configured ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:31:27 status installed ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:31:27 configure sensible-utils:all 0.0.12+nmu1 <none>
2020-07-31 16:31:27 status unpacked sensible-utils:all 0.0.12+nmu1
2020-07-31 16:31:27 status half-configured sensible-utils:all 0.0.12+nmu1
2020-07-31 16:31:27 status installed sensible-utils:all 0.0.12+nmu1
2020-07-31 16:31:27 configure libcrypt1:amd64 1:4.4.10-10ubuntu4 <none>
2020-07-31 16:31:27 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-07-31 16:31:27 status half-configured libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-07-31 16:31:27 status installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-07-31 16:31:27 configure libgcc-s1:amd64 10-20200411-0ubuntu1 <none>
2020-07-31 16:31:27 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2020-07-31 16:31:27 status half-configured libgcc-s1:amd64 10-20200411-0ubuntu1
2020-07-31 16:31:27 status installed libgcc-s1:amd64 10-20200411-0ubuntu1
2020-07-31 16:31:27 configure libc6:amd64 2.31-0ubuntu9 <none>
2020-07-31 16:31:27 status unpacked libc6:amd64 2.31-0ubuntu9
2020-07-31 16:31:27 status half-configured libc6:amd64 2.31-0ubuntu9
2020-07-31 16:31:28 status installed libc6:amd64 2.31-0ubuntu9
2020-07-31 16:31:28 configure libudev1:amd64 245.4-4ubuntu3 <none>
2020-07-31 16:31:28 status unpacked libudev1:amd64 245.4-4ubuntu3
2020-07-31 16:31:28 status half-configured libudev1:amd64 245.4-4ubuntu3
2020-07-31 16:31:28 status installed libudev1:amd64 245.4-4ubuntu3
2020-07-31 16:31:28 configure libsepol1:amd64 3.0-1 <none>
2020-07-31 16:31:28 status unpacked libsepol1:amd64 3.0-1
2020-07-31 16:31:28 status half-configured libsepol1:amd64 3.0-1
